Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,,,Microsoft.Extensions.Logging 9.0.0,,,,,"Microsoft.Extensions.Logging, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,,,Microsoft.Extensions.Logging.Console 9.0.0,,,,,"Microsoft.Extensions.Logging.Console, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\API\APIRepositoryTests.cs,154,3,T:System.Net.Http.HttpContent,,,,,var httpRequestMessage = new HttpResponseMessage(HttpStatusCode.BadRequest)  			{  				Content = new StringContent(JsonSerializer.Serialize(getDataTypeResponse))  			};
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\API\APIRepositoryTests.cs,139,3,T:System.Uri,,,,,"_httpMessageHandler.Received().MockSend(Arg.Is<HttpRequestMessage>(r => r.RequestUri!.ToString().Equals(""https://localhost/v2/current/88769?api-key=testKey&t=12345&"")), Arg.Any<CancellationToken>());"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\API\APIRepositoryTests.cs,122,3,T:System.Net.Http.HttpContent,,,,,var httpRequestMessage = new HttpResponseMessage(HttpStatusCode.OK)  			{  				Content = new StringContent(JsonSerializer.Serialize(getDataTypeResponse))  			};
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\API\APIRepositoryTests.cs,99,3,T:System.Uri,,,,,"_httpMessageHandler.Received().MockSend(Arg.Is<HttpRequestMessage>(r => r.RequestUri!.ToString().Equals(""https://localhost/v2/stations?api-key=testKey&t=12345&"")), Arg.Any<CancellationToken>());"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\API\APIRepositoryTests.cs,82,3,T:System.Net.Http.HttpContent,,,,,var httpRequestMessage = new HttpResponseMessage(HttpStatusCode.OK)  			{  				Content = new StringContent(JsonSerializer.Serialize(getDataTypeResponse))  			};
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\API\APIRepositoryTests.cs,62,3,T:System.Uri,,,,,"_httpMessageHandler.Received().MockSend(Arg.Is<HttpRequestMessage>(r => r.RequestUri!.ToString().Equals(""https://localhost/v2/stations?"")), Arg.Any<CancellationToken>());"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\API\APIRepositoryTests.cs,46,3,T:System.Net.Http.HttpContent,,,,,var httpRequestMessage = new HttpResponseMessage(HttpStatusCode.OK)  			{  				Content = new StringContent(JsonSerializer.Serialize(getDataTypeResponse))  			};
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,tests\myNOC.Tests.WeatherLink\myNOC.Tests.WeatherLink.csproj,File,tests\myNOC.Tests.WeatherLink\IServiceCollectionExtensionsTests.cs,21,3,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,_services.AddLogging(config => config.AddConsole());
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,,,Microsoft.Extensions.Http 9.0.0,,,,,"Microsoft.Extensions.Http, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,,,Microsoft.Extensions.Logging.Abstractions 9.0.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,,,System.Text.Json 9.0.0,,,,,"System.Text.Json, 9.0.0  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
